"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_LGT_1P","NB_LGT_2P","NB_LGT_3P","NB_LGT_4P","NB_LGT_5P","NB_LGT_6P","NB_LGT_DEMOLIS","NB_LGT_IND_CREES","NB_LGT_COL_CREES","NB_LGT_TOT_CREES","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","I_PISCINE","I_GARAGE","I_VERANDA","I_ABRIJARDIN","I_AUTREANNEXE","I_RESIDPRINC","I_RESIDSEC","I_PERSONNELLE","I_VENTE","I_LOCATION","I_LGTR_SENIORS","I_LGTR_ETUDIANTS","I_LGTR_TOURISME","I_LGTR_HOTELIERESOC","I_LGTR_SOCIAL","I_LGTR_HANDICAPES","I_LGTR_AUTRE","I_LGTR_AUTRE_LIBELLE","SDP_A1","SDP_B1","SDP_D1","SDP_ E1","SDP_F1","TYPE_OPERATION_CONSTR","PERIODE_DEVRT","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"53","22","22054","2018","02205418Q0017","10","2",,,,"7","Alle","de l'Horizon Bleu",,,"22430","ERQUY",,"100","26","Rue","Xavier Grall",,,"22430","ERQUY",,"23050C",,,2,430,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,93,0,0,0,"5",2018-06-30,"2018-06-12",
"53","22","22054","2018","02205418Q0022","90","2",,,,"7","Rue","du Hellier",,,"35510","CESSON SEVIGNE",,"100","30","Impas","du Vorhin",,,"22430","ERQUY",,"13020A",,,1,571,,,,0,0,0,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,90,0,0,0,"5",2018-06-30,,
"53","22","22054","2018","02205418Q0023","90","2",,,,"305","Chemi","de Lignerolles",,,"50000","SAINT-LO",,"100","12","Impas","du Rocher Morieux",,,"22430","ERQUY",,"0970AC",,,1,595,,,,0,0,0,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,134,34,0,0,0,"7",2018-06-30,,
"53","22","22054","2018","02205418Q0032","90","2",,,,"24 bi","Rue","des Hopitaux",,,"22430","ERQUY",,"100","13",,"RUE DE TURQUAIS",,,"22430","ERQUY",,"23960C",,,1,594,,,,0,0,0,0,0,0,0,1,0,1,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,131,0,0,0,"5",2018-06-30,,
"53","22","22055","2018","02205518Q0030","80","2",,,,,,"1 RUE LAPEROUSE  LA VILLE",,,"22520","BINIC-ETABLES-SUR-MER",,"100","1","rue","Laperouse  Residence du",,,"22520","BINIC ETABLES SUR MER",,"0345AB",,,2,910,,,,0,0,0,0,0,0,0,0,0,0,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,142,45,0,0,0,"4",2018-06-30,"2018-06-10",
"53","22","22055","2018","02205518Q0037","80","2",,,,,,"8 rue DE LA COUDRAIE",,,"22520","BINIC-ETABLES-SUR-MER",,"100","8",,"Rue de la Coudraie",,,"22520","BINIC ETABLES-SUR-MER",,"0661AO",,,2,648,,,,0,0,0,0,0,0,0,0,0,0,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,97,43,0,0,0,"4",2018-06-30,"2018-06-26",
"53","22","22076","2018","02207618C0010","10","2",,,,"2","Rue","de la Ville es Jicquiaux",,,"22550","HENANBIHEN",,"100",,"Rue","du Colombier",,,"22550","HENANBIHEN",,"0688AB",,,2,436,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,92,0,0,0,"5",2018-06-30,"2018-06-29",
"53","22","22084","2018","02208418C0014","90","2",,,,,,"La Touche Es Gautier",,,"22270","DOLO - JUGON LES LACS COMMUNE NO",,"100",,,"La Touche Es Gautier","Dolo",,"22270","JUGON-LES-LACS Commune nouvelle",,"04200B","04260B","02760B",1,2291,,,,0,0,0,0,0,0,0,1,0,1,,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,242,39,0,0,0,"7",2018-06-30,,
"53","22","22093","2018","02209318F0031","80","2",,,,"18","Rue","du Commandant Hennebert",,,"22400","LAMBALLE",,"100","18","Rue","du Commandant Hennebert",,,"22400","LAMBALLE",,"0192BH","0193BH",,2,3258,,,,0,0,0,0,0,0,0,0,0,0,,"2",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,136,33,0,0,0,"4",2018-06-30,"2018-06-19",
"53","22","22093","2018","02209318F0033","20","2","OPH","COTES D'ARMOR HABITAT","27220001500027","6","Rue","des Lys",,,"22440","PLOUFRAGAN",,"100","7","Rue","de la Guignardais",,,"22400","LAMBALLE",,"0501AB","0372AB","0502AB",2,2722,,,,0,7,8,3,2,0,0,4,16,20,,"1",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,150,1461,0,150,0,"12",2018-06-30,"2018-06-15",
